file_name,top_style,confidence,casual fashion,streetwear fashion,office wear fashion,feminine fashion,mannish fashion,sporty fashion,modern minimal fashion,romantic fashion,hipster fashion,retro fashion
레트로1.webp,romantic fashion,0.2987,0.0379,0.093,0.0514,0.2207,0.0014,0.0029,0.0611,0.2987,0.1492,0.0836
레트로2.jpg,feminine fashion,0.3471,0.1044,0.0559,0.0222,0.3471,0.0006,0.0301,0.0116,0.2729,0.0589,0.0964
레트로3.webp,casual fashion,0.2992,0.2992,0.1128,0.0185,0.0785,0.0002,0.1252,0.05,0.0935,0.1323,0.0897
로맨틱1.webp,feminine fashion,0.6602,0.0733,0.0107,0.0125,0.6602,0.0,0.0025,0.0325,0.1779,0.0131,0.0173
로맨틱2.jpg,feminine fashion,0.5209,0.0823,0.0217,0.0079,0.5209,0.0001,0.0094,0.0355,0.274,0.0191,0.0291
로맨틱3.jpg,feminine fashion,0.7147,0.0596,0.0075,0.0052,0.7147,0.0,0.004,0.0124,0.1825,0.006,0.0081
매니쉬1.webp,modern minimal fashion,0.2513,0.0918,0.1833,0.0446,0.0001,0.0801,0.0456,0.2513,0.0332,0.1694,0.1006
매니쉬2.webp,modern minimal fashion,0.2417,0.063,0.111,0.217,0.0002,0.1188,0.0097,0.2417,0.0389,0.1272,0.0725
매니쉬3.webp,casual fashion,0.2593,0.2593,0.1963,0.0269,0.0018,0.0505,0.1444,0.0688,0.0342,0.1402,0.0777
모던1.webp,mannish fashion,0.416,0.0336,0.1334,0.0615,0.0,0.416,0.0177,0.1274,0.0123,0.1404,0.0577
모던2.webp,mannish fashion,0.2079,0.0589,0.1437,0.0632,0.0023,0.2079,0.0095,0.1776,0.074,0.1921,0.0708
모던3.webp,feminine fashion,0.2039,0.1274,0.1064,0.01,0.2039,0.0002,0.1159,0.0373,0.1763,0.1417,0.0808
스트릿1.webp,sporty fashion,0.3324,0.2117,0.1652,0.0117,0.0,0.019,0.3324,0.0717,0.013,0.1161,0.0591
스트릿2.webp,sporty fashion,0.3375,0.1016,0.211,0.0037,0.0002,0.0569,0.3375,0.0346,0.0245,0.1273,0.1028
스트릿3.webp,sporty fashion,0.3338,0.0536,0.2015,0.0041,0.0029,0.0432,0.3338,0.0216,0.0375,0.1273,0.1746
스트릿4.webp,sporty fashion,0.5204,0.0853,0.1914,0.0043,0.0004,0.01,0.5204,0.0103,0.0109,0.1039,0.063
스포티1.webp,streetwear fashion,0.2875,0.1095,0.2875,0.0298,0.0003,0.0403,0.0896,0.1115,0.0217,0.2218,0.088
스포티2.webp,feminine fashion,0.608,0.0827,0.0284,0.0027,0.608,0.0,0.0318,0.0086,0.1823,0.0301,0.0253
스포티3.webp,sporty fashion,0.3899,0.1862,0.1076,0.017,0.032,0.0003,0.3899,0.0579,0.0465,0.0698,0.0928
오피스1.webp,casual fashion,0.2012,0.2012,0.0856,0.0282,0.0303,0.0001,0.1479,0.1976,0.1474,0.0759,0.0858
오피스2.webp,office wear fashion,0.4248,0.1087,0.0674,0.4248,0.0366,0.0027,0.0075,0.1034,0.1056,0.0961,0.0472
오피스3.jpg,feminine fashion,0.7039,0.0392,0.0097,0.0429,0.7039,0.0,0.0019,0.0155,0.1669,0.0088,0.0112
캐주얼1.webp,casual fashion,0.2457,0.2457,0.2053,0.0361,0.0013,0.0056,0.1069,0.1011,0.0482,0.1735,0.0764
캐주얼2.webp,casual fashion,0.2303,0.2303,0.1919,0.0223,0.0039,0.0278,0.0646,0.0542,0.1022,0.1709,0.1317
캐주얼3.webp,modern minimal fashion,0.2382,0.0738,0.1126,0.1354,0.0001,0.1712,0.013,0.2382,0.0442,0.1469,0.0647
캐주얼4.webp,modern minimal fashion,0.2847,0.1541,0.149,0.0528,0.0003,0.0078,0.0315,0.2847,0.0729,0.1656,0.0814
페미닌1.webp,feminine fashion,0.889,0.0088,0.002,0.0037,0.889,0.0,0.0004,0.0024,0.0886,0.0018,0.0032
페미닌2.webp,romantic fashion,0.4067,0.0315,0.0766,0.0613,0.1356,0.0038,0.0081,0.0823,0.4067,0.0869,0.1072
페미닌3.webp,feminine fashion,0.4488,0.1209,0.0359,0.017,0.4488,0.0001,0.02,0.0209,0.2566,0.0415,0.0382
힙스터1.webp,romantic fashion,0.1933,0.1601,0.1773,0.0085,0.0833,0.0011,0.0441,0.0719,0.1933,0.1366,0.1237
힙스터2.webp,feminine fashion,0.2332,0.1674,0.0859,0.0137,0.2332,0.0003,0.0358,0.0365,0.2164,0.1374,0.0734
힙스터3.webp,sporty fashion,0.2781,0.2399,0.1866,0.024,0.0004,0.0076,0.2781,0.0941,0.0127,0.0996,0.057
